customer_id,age,income,education_level,employment_status,credit_score,loan_amount,loan_term,interest_rate,monthly_payment,city,loan_purpose,application_date,debt_to_income,loan_approved
1,40,23563.814119310155,Master,Employed,673.0,41815.28004188695,12,10.087055828850456,401.8211515566014,Philadelphia,Education,2022-01-01 00:00:00.000000000,0.20462959834366493,0
2,33,43096.99286547004,High School,Employed,520.0,58818.14198383054,36,10.14986112677581,534.6661015140402,Philadelphia,Education,2022-01-01 01:56:53.384448704,0.14887333875466452,1
3,42,28871.307638585586,Bachelor,Employed,554.0,34221.13730696226,24,12.650026232574184,413.01367958816553,Chicago,Home,2022-01-01 03:53:46.768897408,0.17166400002036036,1
4,53,874.9065040802717,High School,Employed,641.0,7007.466814212744,48,8.576436921135889,45.42291111086273,Philadelphia,Home,2022-01-01 05:50:40.153346112,0.6230093510430031,0
5,32,2078679.158319215,High School,Employed,543.0,30299.27566295622,60,9.821440608959533,233.67749734669266,Chicago,Education,2022-01-01 07:47:33.537794816,0.010963015237613918,1
6,32,39212.73634100653,Master,Employed,522.0,35042.50009619206,60,5.252645151538516,173.57913418515662,Phoenix,Education,2022-01-01 09:44:26.922243520,0.053119210863222646,1
7,53,32087.616337524276,High School,Employed,578.0,19582.680905504636,36,8.642401713953264,145.19722794948402,New York,Car,2022-01-01 11:41:20.306692224,0.054300285725999195,0
8,44,154631.2939702559,PhD,Unemployed,764.0,41127.99986581059,60,8.741800731963734,328.19721436086553,Los Angeles,Business,2022-01-01 13:38:13.691140928,0.0254694018992556,1
9,29,8471.867841126746,High School,Employed,805.0,1848.3185262920824,60,3.8059599101883785,5.917286465416153,Phoenix,Car,2022-01-01 15:35:07.075589632,0.008381556336406441,0
10,41,10489.012128528831,Bachelor,Employed,646.0,22583.164946177432,60,9.67647761440358,214.91151220146475,Phoenix,Education,2022-01-01 17:32:00.460038336,0.24587045136530827,0
11,29,82516.83639701712,PhD,Employed,708.0,16343.036252358064,48,11.968894796658974,170.62275966721586,Philadelphia,Personal,2022-01-01 19:28:53.844487040,0.024812792218008542,1
12,29,15111.440251348831,High School,Employed,593.0,40896.0635389701,48,10.70909082750834,362.82772538058106,Chicago,Education,2022-01-01 21:25:47.228935744,0.2881216238920936,0
13,37,80279.04458842012,Bachelor,Employed,443.0,3423.0166900788076,24,11.745813682467587,30.31059214387336,Phoenix,Personal,2022-01-01 23:22:40.613384448,0.004530785182998382,0
14,12,,Bachelor,Unemployed,560.0,5976.233783292911,36,10.250757071255387,49.77745471376196,Phoenix,Car,2022-01-02 01:19:33.997833152,0.03770857227691179,0
15,14,1687.5417840230416,High School,Employed,619.0,20450.303851744055,12,8.659808672914423,152.70689926562181,Houston,Car,2022-01-02 03:16:27.382281856,1.0858888405233356,0
16,28,36388.45550158627,Bachelor,Unemployed,664.0,73533.62219839485,36,3.983592496030046,241.63918809368587,Chicago,Car,2022-01-02 05:13:20.766730560,0.07968654390945024,1
17,22,10950.507413261057,High School,Employed,639.0,2171.645657346112,24,6.329042964664952,11.648074355746072,New York,Home,2022-01-02 07:10:14.151179264,0.012764421500658785,1
18,38,70909.13006391244,High School,Unemployed,621.0,34003.68226709527,48,8.757644657596352,285.5188471126209,Los Angeles,Home,2022-01-02 09:07:07.535627969,0.04831854744605236,1
19,24,51249.456329553665,High School,Employed,592.0,5747.885783395994,48,7.135710048672338,38.2119060427092,New York,Car,2022-01-02 11:04:00.920076673,0.008947272914738916,1
20,18,128590.37522981776,Master,Employed,684.0,2785.8303775317886,36,6.2179998746849385,13.544754164879588,Chicago,Business,2022-01-02 13:00:54.304525377,0.0012639907900421593,0
21,52,76390.21368638329,High School,Employed,513.0,12553.507674227223,12,15.283174483345732,155.1995907650598,New York,Home,2022-01-02 14:57:47.688974081,0.02438002198588814,1
22,32,9969.88365632947,High School,Employed,730.0,21869.894066900335,48,12.100258674562063,188.32473426455698,Phoenix,Business,2022-01-02 16:54:41.073422785,0.22667233531255582,1
23,35,80511.47044543961,Bachelor,Employed,591.0,43864.18490148433,48,13.968909391386193,489.4904784378815,New York,Home,2022-01-02 18:51:34.457871489,0.0729571290743615,0
24,17,51324.402525522935,High School,Employed,856.0,25175.35092564256,36,7.191958004462899,166.12422585748584,Houston,Education,2022-01-02 20:48:27.842320193,0.038840992046590195,0
25,28,55274.540843816765,Bachelor,Retired,618.0,16915.470387827438,36,8.289795722229227,112.03984171000279,Chicago,Car,2022-01-02 22:45:21.226768897,0.02432364122786616,1
